years_held,cum_principal_repaid_pct_of_loan_low,cum_principal_repaid_pct_of_loan_high,per_100000_borrowed_low_$,per_100000_borrowed_high_$,note
1,0.84,2.27,835,2267,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
2,1.74,4.59,1740,4592,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
3,2.72,6.98,2720,6975,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
4,3.78,9.42,3781,9419,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
5,4.93,11.92,4930,11925,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
6,6.17,14.49,6175,14493,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
7,7.52,17.13,7523,17127,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
8,8.98,19.83,8982,19828,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
9,10.56,22.6,10563,22596,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
10,12.28,25.44,12275,25435,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
11,14.13,28.35,14130,28346,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
12,16.14,31.33,16138,31330,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
13,18.31,34.39,18312,34389,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
14,20.67,37.53,20668,37526,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
15,23.22,40.74,23218,40743,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
16,25.98,44.04,25981,44040,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
17,28.97,47.42,28973,47421,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
18,32.21,50.89,32213,50888,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
19,35.72,54.44,35722,54442,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
20,39.52,58.09,39522,58086,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
21,43.64,61.82,43638,61822,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
22,48.09,65.65,48095,65653,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
23,52.92,69.58,52922,69581,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
24,58.15,73.61,58150,73608,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
25,63.81,77.74,63812,77736,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
26,69.94,81.97,69944,81970,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
27,76.58,86.31,76584,86310,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
28,83.78,90.76,83776,90760,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
29,91.56,95.32,91565,95322,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
30,100.0,100.0,100000,100000,30-year fixed fully amortizing loan; low/high across the span of rates seen since 2006; rates omitted by site rule
