annual_appreciation,buyer,commission_assumption,years_to_break_even_no_paydown,years_to_break_even_with_principal_paydown_fast_to_slow
0%,financed,6.0% (net-proceeds calculator example),never (>50y),5.5 to 10.5
0%,cash,6.0% (net-proceeds calculator example),never (>50y),n/a (no loan)
0%,financed,5.9% (closing-cost calculator example),never (>50y),5.4 to 10.4
0%,cash,5.9% (closing-cost calculator example),never (>50y),n/a (no loan)
0%,financed,0% (no commission line),never (>50y),2.2 to 5.2
0%,cash,0% (no commission line),never (>50y),n/a (no loan)
3%,financed,6.0% (net-proceeds calculator example),3.4,2.2 to 2.8
3%,cash,6.0% (net-proceeds calculator example),2.6,n/a (no loan)
3%,financed,5.9% (closing-cost calculator example),3.4,2.2 to 2.8
3%,cash,5.9% (closing-cost calculator example),2.6,n/a (no loan)
3%,financed,0% (no commission line),1.3,0.8 to 1.1
3%,cash,0% (no commission line),0.5,n/a (no loan)
5%,financed,6.0% (net-proceeds calculator example),2.1,1.6 to 1.8
5%,cash,6.0% (net-proceeds calculator example),1.6,n/a (no loan)
5%,financed,5.9% (closing-cost calculator example),2.1,1.6 to 1.8
5%,cash,5.9% (closing-cost calculator example),1.6,n/a (no loan)
5%,financed,0% (no commission line),0.8,0.6 to 0.8
5%,cash,0% (no commission line),0.3,n/a (no loan)
metro 20y actual 1.94%,financed,6.0% (net-proceeds calculator example),5.2,2.8 to 3.8
metro 20y actual 1.94%,cash,6.0% (net-proceeds calculator example),4.0,n/a (no loan)
metro 20y actual 1.94%,financed,5.9% (closing-cost calculator example),5.2,2.8 to 3.8
metro 20y actual 1.94%,cash,5.9% (closing-cost calculator example),3.9,n/a (no loan)
metro 20y actual 1.94%,financed,0% (no commission line),2.0,1.1 to 1.5
metro 20y actual 1.94%,cash,0% (no commission line),0.8,n/a (no loan)
metro 15y actual 5.18%,financed,6.0% (net-proceeds calculator example),2.0,1.5 to 1.8
metro 15y actual 5.18%,cash,6.0% (net-proceeds calculator example),1.5,n/a (no loan)
metro 15y actual 5.18%,financed,5.9% (closing-cost calculator example),2.0,1.5 to 1.8
metro 15y actual 5.18%,cash,5.9% (closing-cost calculator example),1.5,n/a (no loan)
metro 15y actual 5.18%,financed,0% (no commission line),0.8,0.6 to 0.7
metro 15y actual 5.18%,cash,0% (no commission line),0.3,n/a (no loan)
metro 10y actual 6.08%,financed,6.0% (net-proceeds calculator example),1.8,1.3 to 1.6
metro 10y actual 6.08%,cash,6.0% (net-proceeds calculator example),1.3,n/a (no loan)
metro 10y actual 6.08%,financed,5.9% (closing-cost calculator example),1.8,1.3 to 1.6
metro 10y actual 6.08%,cash,5.9% (closing-cost calculator example),1.3,n/a (no loan)
metro 10y actual 6.08%,financed,0% (no commission line),0.7,0.5 to 0.6
metro 10y actual 6.08%,cash,0% (no commission line),0.2,n/a (no loan)
