case,appreciation,year,house_price,houses_owned_end,houses_bought_this_year,noi_this_year,cash_after_purchases,portfolio_value,equity_value_plus_cash,equity_change_vs_start_pct
"A: metro-typical house, site cost inputs",0%,1,342010,1,0,11317,11317,342010,353328,2.7
"A: metro-typical house, site cost inputs",0%,2,342010,1,0,11317,22634,342010,364645,6.0
"A: metro-typical house, site cost inputs",0%,3,342010,1,0,11317,33951,342010,375962,9.3
"A: metro-typical house, site cost inputs",0%,4,342010,1,0,11317,45268,342010,387279,12.6
"A: metro-typical house, site cost inputs",0%,5,342010,1,0,11317,56585,342010,398596,15.9
"A: metro-typical house, site cost inputs",0%,6,342010,1,0,11317,67903,342010,409913,19.2
"A: metro-typical house, site cost inputs",0%,7,342010,1,0,11317,79220,342010,421230,22.5
"A: metro-typical house, site cost inputs",0%,8,342010,1,0,11317,90537,342010,432547,25.8
"A: metro-typical house, site cost inputs",0%,9,342010,1,0,11317,101854,342010,443864,29.1
"A: metro-typical house, site cost inputs",0%,10,342010,1,0,11317,113171,342010,455181,32.4
"A: metro-typical house, site cost inputs",3%,1,352271,1,0,11657,11657,352271,363927,5.8
"A: metro-typical house, site cost inputs",3%,2,362839,1,0,12006,23663,362839,386502,12.4
"A: metro-typical house, site cost inputs",3%,3,373724,1,0,12366,36029,373724,409753,19.2
"A: metro-typical house, site cost inputs",3%,4,384936,1,0,12737,48767,384936,433703,26.1
"A: metro-typical house, site cost inputs",3%,5,396484,1,0,13120,61887,396484,458370,33.3
"A: metro-typical house, site cost inputs",3%,6,408378,1,0,13513,75400,408378,483778,40.7
"A: metro-typical house, site cost inputs",3%,7,420630,1,0,13919,89318,420630,509948,48.3
"A: metro-typical house, site cost inputs",3%,8,433249,1,0,14336,103654,433249,536903,56.1
"A: metro-typical house, site cost inputs",3%,9,446246,1,0,14766,118421,446246,564667,64.2
"A: metro-typical house, site cost inputs",3%,10,459633,1,0,15209,133630,459633,593263,72.5
B: site-stated cap range midpoint 6%,0%,1,342010,1,0,20521,20521,342010,362531,5.4
B: site-stated cap range midpoint 6%,0%,2,342010,1,0,20521,41041,342010,383052,11.4
B: site-stated cap range midpoint 6%,0%,3,342010,1,0,20521,61562,342010,403572,17.4
B: site-stated cap range midpoint 6%,0%,4,342010,1,0,20521,82083,342010,424093,23.3
B: site-stated cap range midpoint 6%,0%,5,342010,1,0,20521,102603,342010,444614,29.3
B: site-stated cap range midpoint 6%,0%,6,342010,1,0,20521,123124,342010,465134,35.3
B: site-stated cap range midpoint 6%,0%,7,342010,1,0,20521,143644,342010,485655,41.2
B: site-stated cap range midpoint 6%,0%,8,342010,1,0,20521,164165,342010,506176,47.2
B: site-stated cap range midpoint 6%,0%,9,342010,1,0,20521,184686,342010,526696,53.2
B: site-stated cap range midpoint 6%,0%,10,342010,1,0,20521,205206,342010,547217,59.1
B: site-stated cap range midpoint 6%,3%,1,352271,1,0,21136,21136,352271,373407,8.6
B: site-stated cap range midpoint 6%,3%,2,362839,1,0,21770,42907,362839,405746,18.0
B: site-stated cap range midpoint 6%,3%,3,373724,1,0,22423,65330,373724,439054,27.7
B: site-stated cap range midpoint 6%,3%,4,384936,1,0,23096,88426,384936,473362,37.7
B: site-stated cap range midpoint 6%,3%,5,396484,1,0,23789,112215,396484,508699,47.9
B: site-stated cap range midpoint 6%,3%,6,408378,1,0,24503,136718,408378,545096,58.5
B: site-stated cap range midpoint 6%,3%,7,420630,1,0,25238,161956,420630,582585,69.4
B: site-stated cap range midpoint 6%,3%,8,433249,1,0,25995,187951,433249,621199,80.6
B: site-stated cap range midpoint 6%,3%,9,446246,1,0,26775,214725,446246,660971,92.2
B: site-stated cap range midpoint 6%,3%,10,459633,1,0,27578,242303,459633,701937,104.1
