appreciation,year,keep_value,keep_cash_saved,keep_total,trade_value_two_houses,trade_cash_saved_after_gap,trade_total,trade_minus_keep
0%,1,550277,9467,559744,509440,21267,530708,-29036
0%,2,550277,18934,569210,509440,41617,551057,-18153
0%,3,550277,28400,578677,509440,61966,571406,-7271
0%,4,550277,37867,588144,509440,82315,591755,3612
0%,5,550277,47334,597611,509440,102664,612105,14494
0%,6,550277,56801,607077,509440,123014,632454,25377
0%,7,550277,66267,616544,509440,143363,652803,36259
0%,8,550277,75734,626011,509440,163712,673152,47142
0%,9,550277,85201,635478,509440,184061,693502,58024
0%,10,550277,94668,644944,509440,204411,713851,68907
3%,1,566785,9826,576611,524723,22028,546751,-29859
3%,2,583789,20021,603810,540465,43921,584386,-19424
3%,3,601302,30598,631900,556679,66621,623300,-8600
3%,4,619341,41566,660908,573379,90152,663531,2623
3%,5,637922,52939,690861,590581,114538,705119,14258
3%,6,657059,64728,721787,608298,139807,748105,26318
3%,7,676771,76946,753717,626547,165983,792530,38814
3%,8,697074,89605,786679,645344,193095,838438,51759
3%,9,717986,102719,820705,664704,221170,885874,65169
3%,10,739526,116301,855827,684645,250237,934882,79055
