zip,area,zhvi_2026_07,zori_2026_07,zori_2025_07,hud_safmr_fy2026_3br,gross_rent_to_price_pct_zori,noi_yield_pct_zori,noi_yield_pct_safmr3br
29526,Conway 29526,302222,1892,1854,1600,7.51,4.13,3.18
29527,Conway 29527 (west),263160,,,1600,,,3.83
29566,Little River 29566,323004,1502,1562,1960,5.58,2.6,3.99
29568,Longs 29568,291590,1835,1728,1980,7.55,4.13,4.62
29569,Loris 29569,254720,,,1600,,,3.99
29572,Myrtle Beach 29572 (north end),319482,1595,1534,1770,5.99,2.93,3.46
29575,Surfside Beach 29575,360243,1607,1566,1970,5.35,2.49,3.48
29576,Murrells Inlet / Garden City 29576,401110,1943,1918,2060,5.81,2.94,3.23
29577,Myrtle Beach 29577 (city core),279713,1680,1655,1750,7.21,3.81,4.06
29579,Myrtle Beach 29579 (Carolina Forest),359496,1736,1747,2130,5.79,2.85,3.93
29582,North Myrtle Beach 29582,400143,1627,1477,1910,4.88,2.17,2.87
29585,Pawleys Island 29585,550277,1926,,1890,4.2,1.78,1.72
29588,Myrtle Beach 29588 (Socastee/Burgess),324770,1682,1668,1870,6.22,3.12,3.69
