hold_years,windows,worst_total_change_pct,worst_window_start,worst_window_end,median_total_change_pct,best_total_change_pct,best_window_start,best_window_end,share_windows_>= 0% (any gain),"share_windows_>= +3.8% (financed, no commission)","share_windows_>= +7.9% (cash buyer, 6% commission)","share_windows_>= +10.5% (financed, 6% commission)"
1,285,-15.3,2008-09-30,2009-09-30,3.7,27.4,2021-06-30,2022-06-30,73,49,21,19
2,273,-22.2,2007-11-30,2009-11-30,8.4,50.5,2020-08-31,2022-08-31,74,68,55,37
3,261,-29.0,2008-03-31,2011-03-31,13.6,57.8,2003-10-31,2006-10-31,73,71,68,67
4,249,-33.3,2007-07-31,2011-07-31,17.9,66.0,2018-08-31,2022-08-31,76,73,71,69
5,237,-34.0,2006-11-30,2011-11-30,24.0,75.1,2017-08-31,2022-08-31,75,72,70,68
6,225,-32.2,2006-12-31,2012-12-31,29.1,82.6,2016-08-31,2022-08-31,74,71,68,67
7,213,-28.9,2006-10-31,2013-10-31,29.6,88.7,2015-08-31,2022-08-31,71,69,65,63
8,201,-25.8,2006-12-31,2014-12-31,23.5,95.2,2014-08-31,2022-08-31,71,68,62,60
10,177,-20.5,2006-10-31,2016-10-31,12.5,112.5,2012-08-31,2022-08-31,75,72,69,64
12,153,-12.2,2006-11-30,2018-11-30,21.7,119.7,2011-11-30,2023-11-30,79,75,73,71
15,117,14.2,2006-04-30,2021-04-30,38.1,113.4,2011-07-31,2026-07-31,100,100,100,100
