date,zhvi_all_homes_smoothed_sa_mid_tier
2001-11-30,145051.88
2001-12-31,145116.59
2002-01-31,145296.23
2002-02-28,145240.99
2002-03-31,145064.98
2002-04-30,144392.25
2002-05-31,144162.91
2002-06-30,144256.11
2002-07-31,144872.58
2002-08-31,145457.81
2002-09-30,146004.45
2002-10-31,146498.27
2002-11-30,147038.86
2002-12-31,147576.65
2003-01-31,148192.72
2003-02-28,148975.0
2003-03-31,149360.03
2003-04-30,149374.45
2003-05-31,149248.88
2003-06-30,149470.07
2003-07-31,150043.38
2003-08-31,150701.41
2003-09-30,151519.48
2003-10-31,152359.44
2003-11-30,153111.09
2003-12-31,153747.96
2004-01-31,154487.74
2004-02-29,155648.17
2004-03-31,156575.95
2004-04-30,157471.92
2004-05-31,158353.97
2004-06-30,159893.67
2004-07-31,161710.57
2004-08-31,163329.84
2004-09-30,165165.14
2004-10-31,167128.65
2004-11-30,169291.34
2004-12-31,171278.42
2005-01-31,173706.06
2005-02-28,176488.4
2005-03-31,179335.44
2005-04-30,181814.6
2005-05-31,184119.73
2005-06-30,186818.51
2005-07-31,190105.26
2005-08-31,193757.36
2005-09-30,197561.43
2005-10-31,201481.52
2005-11-30,205369.24
2005-12-31,209299.3
2006-01-31,212496.65
2006-02-28,216215.08
2006-03-31,219839.06
2006-04-30,223314.35
2006-05-31,226634.85
2006-06-30,229597.28
2006-07-31,232980.1
2006-08-31,235655.09
2006-09-30,238146.08
2006-10-31,240369.71
2006-11-30,241526.94
2006-12-31,241963.93
2007-01-31,241959.72
2007-02-28,242069.41
2007-03-31,242123.68
2007-04-30,241853.42
2007-05-31,241608.89
2007-06-30,241206.59
2007-07-31,240321.85
2007-08-31,239520.36
2007-09-30,238319.02
2007-10-31,236751.1
2007-11-30,235121.72
2007-12-31,233920.3
2008-01-31,233527.13
2008-02-29,232783.65
2008-03-31,231266.08
2008-04-30,229439.83
2008-05-31,227664.4
2008-06-30,226342.1
2008-07-31,224746.89
2008-08-31,222698.64
2008-09-30,220395.69
2008-10-31,217073.63
2008-11-30,213375.07
2008-12-31,209851.73
2009-01-31,206902.55
2009-02-28,204015.86
2009-03-31,200981.98
2009-04-30,198259.93
2009-05-31,195725.38
2009-06-30,193199.46
2009-07-31,190807.05
2009-08-31,188667.57
2009-09-30,186615.35
2009-10-31,184464.89
2009-11-30,182975.88
2009-12-31,182347.48
2010-01-31,182310.81
2010-02-28,181942.36
2010-03-31,180982.45
2010-04-30,180040.86
2010-05-31,179168.29
2010-06-30,178200.88
2010-07-31,176876.44
2010-08-31,175501.07
2010-09-30,173665.19
2010-10-31,171932.73
2010-11-30,170512.04
2010-12-31,169051.76
2011-01-31,167393.68
2011-02-28,165299.24
2011-03-31,164104.88
2011-04-30,163114.43
2011-05-31,162162.93
2011-06-30,161073.03
2011-07-31,160235.18
2011-08-31,159847.43
2011-09-30,159767.78
2011-10-31,159805.21
2011-11-30,159452.62
2011-12-31,160111.52
2012-01-31,161109.4
2012-02-29,162494.02
2012-03-31,162592.84
2012-04-30,162394.84
2012-05-31,162234.01
2012-06-30,162401.58
2012-07-31,162677.93
2012-08-31,163006.57
2012-09-30,163386.52
2012-10-31,163663.12
2012-11-30,163969.07
2012-12-31,164032.9
2013-01-31,164037.39
2013-02-28,164153.86
2013-03-31,164523.28
2013-04-30,165292.96
2013-05-31,166231.68
2013-06-30,167328.06
2013-07-31,168188.01
2013-08-31,168953.53
2013-09-30,169765.89
2013-10-31,170866.34
2013-11-30,171835.69
2013-12-31,172519.14
2014-01-31,172825.68
2014-02-28,173342.7
2014-03-31,174059.86
2014-04-30,174876.26
2014-05-31,175560.32
2014-06-30,176142.61
2014-07-31,176841.37
2014-08-31,177414.8
2014-09-30,178060.92
2014-10-31,178560.48
2014-11-30,179273.67
2014-12-31,179581.48
2015-01-31,179717.34
2015-02-28,179770.95
2015-03-31,180262.7
2015-04-30,180882.75
2015-05-31,181590.03
2015-06-30,182170.61
2015-07-31,182868.96
2015-08-31,183522.84
2015-09-30,184288.22
2015-10-31,185166.23
2015-11-30,185962.21
2015-12-31,186466.98
2016-01-31,187013.4
2016-02-29,187677.51
2016-03-31,188325.59
2016-04-30,188833.86
2016-05-31,189042.56
2016-06-30,189349.01
2016-07-31,189485.9
2016-08-31,189678.73
2016-09-30,190146.59
2016-10-31,191034.16
2016-11-30,192174.5
2016-12-31,192916.83
2017-01-31,193234.73
2017-02-28,193466.95
2017-03-31,194031.54
2017-04-30,194901.23
2017-05-31,195643.78
2017-06-30,196362.01
2017-07-31,196982.7
2017-08-31,197817.95
2017-09-30,198735.96
2017-10-31,199770.24
2017-11-30,200909.94
2017-12-31,201844.4
2018-01-31,202637.04
2018-02-28,203434.8
2018-03-31,204502.05
2018-04-30,205552.19
2018-05-31,206369.54
2018-06-30,206966.02
2018-07-31,207690.46
2018-08-31,208694.91
2018-09-30,209918.12
2018-10-31,211143.28
2018-11-30,212098.65
2018-12-31,212695.31
2019-01-31,213338.83
2019-02-28,214254.6
2019-03-31,215521.04
2019-04-30,216625.8
2019-05-31,217621.76
2019-06-30,218548.25
2019-07-31,219463.74
2019-08-31,220208.31
2019-09-30,220781.32
2019-10-31,221501.87
2019-11-30,222674.28
2019-12-31,223688.4
2020-01-31,224539.04
2020-02-29,224929.59
2020-03-31,225622.93
2020-04-30,226342.69
2020-05-31,226868.65
2020-06-30,227388.99
2020-07-31,228373.28
2020-08-31,230167.13
2020-09-30,232724.66
2020-10-31,235778.98
2020-11-30,239121.67
2020-12-31,242547.81
2021-01-31,245523.3
2021-02-28,248498.1
2021-03-31,251397.23
2021-04-30,254964.35
2021-05-31,259417.05
2021-06-30,264988.56
2021-07-31,270891.6
2021-08-31,276329.61
2021-09-30,281234.43
2021-10-31,286097.09
2021-11-30,291232.98
2021-12-31,296237.06
2022-01-31,302005.38
2022-02-28,308106.97
2022-03-31,315099.9
2022-04-30,322443.13
2022-05-31,330161.03
2022-06-30,337690.29
2022-07-31,343238.09
2022-08-31,346342.32
2022-09-30,346959.41
2022-10-31,347076.93
2022-11-30,346903.79
2022-12-31,346433.32
2023-01-31,344979.56
2023-02-28,343740.54
2023-03-31,342906.68
2023-04-30,343228.6
2023-05-31,344237.23
2023-06-30,346158.43
2023-07-31,347806.78
2023-08-31,349047.64
2023-09-30,349672.48
2023-10-31,350130.1
2023-11-30,350365.08
2023-12-31,350583.67
2024-01-31,350689.88
2024-02-29,350892.25
2024-03-31,351414.91
2024-04-30,352178.0
2024-05-31,352722.4
2024-06-30,352379.3
2024-07-31,351649.32
2024-08-31,350977.09
2024-09-30,350547.46
2024-10-31,350075.75
2024-11-30,349210.2
2024-12-31,348431.47
2025-01-31,347877.06
2025-02-28,347455.65
2025-03-31,346575.72
2025-04-30,345302.46
2025-05-31,343870.61
2025-06-30,342507.52
2025-07-31,341410.67
2025-08-31,340631.22
2025-09-30,340381.22
2025-10-31,340296.44
2025-11-30,340404.58
2025-12-31,340547.22
2026-01-31,340922.97
2026-02-28,341305.19
2026-03-31,341748.42
2026-04-30,341906.09
2026-05-31,341953.59
2026-06-30,341889.95
2026-07-31,342010.48
